item_name,item_id,shop_name,shop_id,shop_reviews,price,on_sale,sale_price,image,link
3 Pack Anarchist Revolution Stickers / Anarchy Frog / Eat The Rich Possum Decal / Let's Ride Opossum in a Tank / Funny Radical Leftist,1050110991,WoeBeGoneGoods,27716986,5294,12.99,False,N/A,https://i.etsystatic.com/27716986/r/il/692e7b/3247271635/il_340x270.3247271635_89ub.jpg,https://www.etsy.com/listing/1050110991/3-pack-anarchist-revolution-stickers?click_key=969abc986b2005ac8cd5d8ba696818379450da13%3A1050110991&click_sum=f2ac9920&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=listing_grid-1-1&frs=1&pop=1
"HOT! || Botanical Deco Clear Stickers Set | 12 styles. Scrapbooking Stickers, Card Embellishment, Plant Lover Gift. Free Gift.",937798855,RGCRAFTDESIGN,24672617,2059,1.71,True,1.9,https://i.etsystatic.com/24672617/r/il/90c3c3/2824041005/il_340x270.2824041005_rn2d.jpg,https://www.etsy.com/listing/937798855/hot-botanical-deco-clear-stickers-set-12?click_key=918f471fb95f48fcdb28d3689076a9955bb91241%3A937798855&click_sum=a25e425a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=listing_grid-1-2&pro=1&sts=1
50 Custom Die Cut Vinyl Stickers Pack. Your custom vinyl sticker or decal cut to any shape. We make stickers from your pictures.,806461188,StickersFOX,17514981,3041,8.0,True,16.0,https://i.etsystatic.com/17514981/r/il/c7c4ce/3222118139/il_340x270.3222118139_qjsa.jpg,https://www.etsy.com/listing/806461188/50-custom-die-cut-vinyl-stickers-pack?click_key=c5cf7e632278be78b8d39890ac7bea001d534ec3%3A806461188&click_sum=889dc1a2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=listing_grid-1-3&pro=1&sts=1
"Woman's Rights "" Abortion Is Healthcare"" 4 Inch Stickers (Pack Of 2) Pro Abortion Pro Choice Pro Rights Abortion Rights, FREE SHIPPING",1228493695,AnnaBoutiquewithSasa,26330536,106,5.06,True,5.95,https://i.etsystatic.com/26330536/r/il/b59a41/3905720271/il_340x270.3905720271_jrhn.jpg,https://www.etsy.com/listing/1228493695/womans-rights-abortion-is-healthcare-4?click_key=88112f3bcc69d5b6ddbaaec191b87e710b9703ff%3A1228493695&click_sum=93c5e2e5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=listing_grid-1-4&pro=1&frs=1
150 x Labels Your Own Design or Pre-Made Custom Roll Circle Labels ! Your own or premade design is printed / Bulk stickers - FAST SHIPPING,878274871,CustomBrandWare,14737565,4611,9.6,True,16.0,https://i.etsystatic.com/14737565/c/2586/2055/187/22/il/2dc7ec/3436830352/il_340x270.3436830352_om6c.jpg,https://www.etsy.com/listing/878274871/150-x-labels-your-own-design-or-pre-made?click_key=0ecdafa70ca217db699ecbfd88d4b9d20b853d55%3A878274871&click_sum=04f48852&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=search_grid-1-1&pro=1&frs=1
75 Cute Mixed Colors Sticker Lot Book Fun Pack Laptop Car Decals,1082005708,LeftoverBagels,7941995,11371,6.49,False,N/A,https://i.etsystatic.com/7941995/r/il/c0d221/3372348752/il_340x270.3372348752_q43h.jpg,https://www.etsy.com/listing/1082005708/75-cute-mixed-colors-sticker-lot-book?click_key=d01192b6858d7cda138dcdf166137950d5fdad9b%3A1082005708&click_sum=583ba276&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=search_grid-1-2&frs=1&pop=1
Personalized Stickers | Matte or Glossy | Minimal | Custom Drawing Portrait Sticker | Digital Illustration | Picture Decal | Photo Sticker,833025422,BeyondMyFence,23833722,1042,8.86,False,N/A,https://i.etsystatic.com/23833722/r/il/c397b7/3505332630/il_340x270.3505332630_eodp.jpg,https://www.etsy.com/listing/833025422/personalized-stickers-matte-or-glossy?click_key=01a74f9e5365a1436c59a80b81f66250205dba75%3A833025422&click_sum=5e01690c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=search_grid-1-3&frs=1&pop=1
"Custom Vinyl Stickers - Print and Cut Any Design and Shape - Laminated Waterproof Custom Labels, Custom Stickers, Logo, Branding",1068040572,CKBrandsCo,31860533,1192,4.99,False,N/A,https://i.etsystatic.com/31860533/r/il/e7297c/3375218825/il_340x270.3375218825_e2c8.jpg,https://www.etsy.com/listing/1068040572/custom-vinyl-stickers-print-and-cut-any?click_key=b4deafa39c80027552abf459e7a9db6a82462576%3A1068040572&click_sum=6aadb366&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=search_grid-1-4&pop=1
100 Cool Mixed Colors Sticker Lot Fun Pack Skateboard Laptop Car Decals,1082007074,LeftoverBagels,7941995,11371,8.99,False,N/A,https://i.etsystatic.com/7941995/r/il/829c5c/3372354628/il_340x270.3372354628_5eqz.jpg,https://www.etsy.com/listing/1082007074/100-cool-mixed-colors-sticker-lot-fun?click_key=d0a5d757dffc7b7aea1803b4f80fcbc5b089a2c1%3A1082007074&click_sum=2a4d006b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=search_grid-1-5&frs=1&pop=1
50 Custom Die Cut Vinyl Stickers Pack. Your custom vinyl sticker or decal cut to any shape. We make stickers from your pictures.,806461188,StickersFOX,17514981,3041,8.0,True,16.0,https://i.etsystatic.com/17514981/r/il/c7c4ce/3222118139/il_340x270.3222118139_qjsa.jpg,https://www.etsy.com/listing/806461188/50-custom-die-cut-vinyl-stickers-pack?click_key=0e878f26343ac8a9c2fc72f342ff997d84002b86%3A806461188&click_sum=64ce4d43&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=search_grid-1-6&pro=1&sts=1
